iter	MultiClass
0	1.216304222
1	1.084555054
2	0.9795723891
3	0.8977197222
4	0.8269667897
5	0.7662952894
6	0.7122401814
7	0.6711421485
8	0.62838236
9	0.5904332537
10	0.5578357353
11	0.5304941505
12	0.5025071522
13	0.4772017185
14	0.457112704
15	0.4384260678
16	0.4202472173
17	0.4036249098
18	0.3873402354
19	0.3731019259
20	0.3600941506
21	0.3485679021
22	0.3368253147
23	0.3268340541
24	0.3169459867
25	0.3084168637
26	0.3005796143
27	0.2929367999
28	0.285954115
29	0.2808683752
30	0.2754192428
31	0.2711788448
32	0.2660548947
33	0.2614532439
34	0.2571533158
35	0.2540360842
36	0.2491538405
37	0.2456701484
38	0.2427356465
39	0.2398998337
40	0.237107923
41	0.2341613589
42	0.2315101611
43	0.2293360461
44	0.2272111238
45	0.2242295493
46	0.2218740689
47	0.2203477588
48	0.2185611419
49	0.216672561
50	0.2152073754
51	0.2131438601
52	0.2110391822
53	0.2090578093
54	0.2073881741
55	0.2057472493
56	0.2040983121
57	0.2024084178
58	0.2012259919
59	0.1992149134
60	0.1978264775
61	0.1964953163
62	0.1952639322
63	0.1940381327
64	0.1928118554
65	0.1916875426
66	0.190734004
67	0.1894969647
68	0.1882313439
69	0.1870310165
70	0.1860570313
71	0.1856297831
72	0.1845796705
73	0.1834820145
74	0.1825537663
75	0.1817222004
76	0.1809289896
77	0.1801527419
78	0.1789691433
79	0.1780137213
80	0.1770540649
81	0.1760256747
82	0.1749625123
83	0.1742440382
84	0.1733270032
85	0.1723142874
86	0.1716710546
87	0.1708323112
88	0.1702879833
89	0.1694531135
90	0.1684400879
91	0.1676641504
92	0.1669068906
93	0.1662623573
94	0.1657102325
95	0.1647469325
96	0.1639896486
97	0.163221928
98	0.1627416962
99	0.1620297837
