iter	Passed	Remaining
0	1	124
1	2	117
2	3	113
3	4	111
4	5	109
5	6	108
6	8	107
7	9	106
8	10	104
9	11	103
10	12	102
11	13	101
12	14	100
13	16	99
14	17	99
15	18	98
16	19	96
17	21	95
18	22	94
19	23	93
20	24	91
21	25	90
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	83
28	33	82
29	34	81
30	35	80
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	47	67
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	63	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	44
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	80	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	115	1
99	116	0
